,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
194,21/09/2022 20:29:54999000,,397.476,36.478,392.352,208.132,249.599.115,107,65535,65535
195,21/09/2022 20:29:55997400,,398.452,36.6,391.376,208.132,249.599.115,111,65535,65535
196,21/09/2022 20:29:56995800,,398.452,366.732,393.084,208.132,250.524.835,110,65535,65535
197,21/09/2022 20:29:57994200,,398.452,368.196,393.084,208.132,250.524.835,108,65535,65535
198,21/09/2022 20:30:04795800,,400.404,36.6,391.376,209.108,250.524.835,108,65535,65535
199,21/09/2022 20:30:05809800,,400.648,365.512,393.084,20.862,249.599.115,110,65535,65535
200,21/09/2022 20:30:06839400,,400.404,363.804,391.376,20.862,244.970.515,108,65535,65535
201,21/09/2022 20:30:07822200,,401.136,365.512,392.596,20.862,247.747.675,110,65535,65535
202,21/09/2022 20:30:08820600,,401.136,365.512,392.596,208.376,245.896.235,112,65535,65535
203,21/09/2022 20:30:09803400,,401.868,363.316,392.596,208.132,245.896.235,112,65535,65535
204,21/09/2022 20:30:10801800,,401.624,363.316,392.352,208.132,244.970.515,112,65535,65535
205,21/09/2022 20:30:11800200,,401.136,363.316,391.376,208.132,243.119.075,113,65535,65535
206,21/09/2022 20:30:12814200,,401.624,366.488,392.596,208.132,243.119.075,115,65535,65535
207,21/09/2022 20:30:13812600,,402.112,36.6,392.596,207.888,243.119.075,112,65535,65535
208,21/09/2022 20:30:14795400,,401.624,364.536,392.596,208.132,244.970.515,111,65535,65535
209,21/09/2022 20:30:15809400,,401.136,36.356,393.328,20.862,245.896.235,110,65535,65535
210,21/09/2022 20:30:16807800,,401.868,363.804,393.328,208.376,245.896.235,107,65535,65535
211,21/09/2022 20:30:17806200,,400.892,366.976,393.084,20.862,245.896.235,111,65535,65535
212,21/09/2022 20:30:18804600,,401.624,366.976,392.596,209.108,244.970.515,112,65535,65535
213,21/09/2022 20:30:19818600,,401.624,365.512,393.328,208.132,246.821.955,111,65535,65535
214,21/09/2022 20:30:20817000,,401.624,366.488,393.328,207.888,244.970.515,111,65535,65535
215,21/09/2022 20:30:21815400,,402.112,365.512,393.328,208.132,245.896.235,111,65535,65535
216,21/09/2022 20:30:22813800,,401.136,365.756,393.328,208.132,245.896.235,111,65535,65535
217,21/09/2022 20:30:23781000,,401.868,365.512,393.328,208.376,246.821.955,113,65535,65535
218,21/09/2022 20:30:24810600,,401.624,365.756,393.328,20.862,244.970.515,112,65535,65535
219,21/09/2022 20:30:25809000,,401.624,366.976,393.084,208.376,245.896.235,111,65535,65535
220,21/09/2022 20:30:26823000,,400.892,366.976,394.304,207.888,245.896.235,111,65535,65535
221,21/09/2022 20:30:27805800,,401.624,366.732,394.304,208.132,246.821.955,107,65535,65535
222,21/09/2022 20:30:28804200,,401.868,36.722,394.548,208.132,245.896.235,110,65535,65535
223,21/09/2022 20:30:29818200,,401.136,366.976,394.548,208.132,243.119.075,111,65535,65535
224,21/09/2022 20:30:30816600,,401.136,366.976,393.328,208.132,244.970.515,111,65535,65535
225,21/09/2022 20:30:31815000,,400.892,366.488,393.328,209.108,245.896.235,110,65535,65535
226,21/09/2022 20:30:32813400,,400.404,366.488,394.304,209.108,245.896.235,110,65535,65535
227,21/09/2022 20:30:33811800,,401.136,365.512,394.548,208.376,245.896.235,110,65535,65535
228,21/09/2022 20:30:34810200,,400.404,366.488,394.304,208.376,244.970.515,111,65535,65535
229,21/09/2022 20:30:40816200,,400.892,366.732,393.572,20.862,235.713.315,111,65535,65535
230,21/09/2022 20:30:41845800,,400.892,366.976,394.304,209.108,235.713.315,110,65535,65535
231,21/09/2022 20:30:42844200,,400.648,365.024,394.548,207.888,235.713.315,108,65535,65535
232,21/09/2022 20:30:43811400,,401.624,366.488,394.304,208.376,237.564.755,108,65535,65535
