,Data,T1,T2,T3,T4,F1,F2,Empty1,Empty2
1189,26/09/2022 21:03:44675800,37.8444,24.644,26.0104,20.2032,219.976075,170,65535,65535
1190,26/09/2022 21:03:45705400,37.7468,25.9128,26.718,20.2032,227.381835,168,65535,65535
1191,26/09/2022 21:03:46703800,37.5516,26.352,27.4256,20.2032,231.084715,168,65535,65535
1192,26/09/2022 21:03:47702200,37.454,27.0108,28.2308,20.1544,233.861875,167,65535,65535
1193,26/09/2022 21:03:48700600,37.698,27.8892,28.9628,20.2032,233.861875,168,65535,65535
1194,26/09/2022 21:03:49699000,38.0396,29.0848,29.6704,20.2764,235.713315,167,65535,65535
1195,26/09/2022 21:03:50697400,38.186,29.7436,30.2804,20.2276,232.936155,166,65535,65535
1196,26/09/2022 21:03:51695800,38.4056,29.8168,30.7684,20.2032,233.861875,166,65535,65535
1197,26/09/2022 21:03:52694200,38.4544,30.0608,31.4028,20.2032,235.713315,162,65535,65535
1198,26/09/2022 21:03:53692600,38.5276,30.7928,31.8908,20.2032,232.936155,163,65535,65535
1199,26/09/2022 21:03:54691000,38.5276,30.988,32.2568,20.2032,235.713315,165,65535,65535
