,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
226,21/09/2022 20:30:32813400,,"40,0404","36,6488","39,4304","20,9108","245,896235",110,65535,65535
227,21/09/2022 20:30:33811800,,"40,1136","36,5512","39,4548","20,8376","245,896235",110,65535,65535
228,21/09/2022 20:30:34810200,,"40,0404","36,6488","39,4304","20,8376","244,970515",111,65535,65535
229,21/09/2022 20:30:40816200,,"40,0892","36,6732","39,3572","20,862","235,713315",111,65535,65535
230,21/09/2022 20:30:41845800,,"40,0892","36,6976","39,4304","20,9108","235,713315",110,65535,65535
231,21/09/2022 20:30:42844200,,"40,0648","36,5024","39,4548","20,7888","235,713315",108,65535,65535
232,21/09/2022 20:30:43811400,,"40,1624","36,6488","39,4304","20,8376","237,564755",108,65535,65535
233,21/09/2022 20:30:44841000,,"40,1624","36,5024","39,4304","20,8132","233,861875",110,65535,65535
234,21/09/2022 20:30:45839400,,"40,1868","36,3804","39,4304","20,8376","236,639035",111,65535,65535
235,21/09/2022 20:30:46853400,,"40,1868","36,6488","39,4792","20,8376","232,936155",110,65535,65535
236,21/09/2022 20:30:47836200,,"40,1624","36,6732","39,4304","20,862","235,713315",110,65535,65535
237,21/09/2022 20:30:48834600,,"40,1868","36,6488","39,4548","20,862","233,861875",110,65535,65535
238,21/09/2022 20:30:49848600,,"40,2112","36,6732","39,4548","20,7888","235,713315",112,65535,65535
239,21/09/2022 20:30:50847000,,"40,1868","36,722","39,3084","20,8376","235,713315",108,65535,65535
240,21/09/2022 20:30:51845400,,"40,2112","36,356","39,2596","20,8132","236,639035",110,65535,65535
241,21/09/2022 20:30:52843800,,"40,1624","36,6488","39,4548","20,7888","235,713315",112,65535,65535
242,21/09/2022 20:30:53842200,,"40,2112","36,722","39,3328","20,8132","236,639035",108,65535,65535
243,21/09/2022 20:30:54840600,,"40,2112","36,722","39,3084","20,862","236,639035",111,65535,65535
244,21/09/2022 20:30:55839000,,"40,26","36,722","39,3328","20,9108","236,639035",108,65535,65535
245,21/09/2022 20:31:02968200,,"40,0648","36,4536","39,4304","20,9352","219,050355",108,65535,65535
246,21/09/2022 20:31:03966600,,"40,1624","36,4292","39,4548","20,862","218,124635",110,65535,65535
247,21/09/2022 20:31:04996200,,"40,1868","36,3316","39,4304","20,862","219,050355",110,65535,65535
248,21/09/2022 20:31:05994600,,"40,0892","36,3804","39,4548","20,8376","219,976075",110,65535,65535
249,21/09/2022 20:31:07008600,,"40,1624","36,3072","39,4304","20,8376","218,124635",111,65535,65535
250,21/09/2022 20:31:08007000,,"40,0404","36,5024","39,3572","20,862","219,976075",110,65535,65535
251,21/09/2022 20:31:09005400,,"40,1624","36,478","39,4304","20,862","222,753235",110,65535,65535
252,21/09/2022 20:31:10003800,,"40,1868","36,4292","39,4548","20,8376","222,753235",111,65535,65535
253,21/09/2022 20:31:11002200,,"40,1868","36,3316","39,4548","20,9108","221,827515",112,65535,65535
254,21/09/2022 20:31:12016200,,"40,0892","36,2096","39,4548","20,9108","221,827515",112,65535,65535
255,21/09/2022 20:31:12983400,,"40,0404","36,2096","39,4304","20,8376","219,976075",113,65535,65535
256,21/09/2022 20:31:13981800,,"40,0404","36,3316","39,3328","20,9108","219,976075",113,65535,65535
257,21/09/2022 20:31:14995800,,"40,0404","36,3072","39,3328","20,8132","219,976075",112,65535,65535
258,21/09/2022 20:31:15994200,,"40,1868","36,3072","39,3328","20,8376","219,976075",110,65535,65535
259,21/09/2022 20:31:16992600,,"40,1868","36,3316","39,3328","20,862","218,124635",110,65535,65535
260,21/09/2022 20:31:18006600,,"40,0892","36,3804","39,3328","20,9108","218,124635",110,65535,65535
261,21/09/2022 20:31:18989400,,"40,1136","36,5024","39,3328","20,9108","217,198915",110,65535,65535
262,21/09/2022 20:31:20003400,,"40,1868","36,356","39,3328","20,8376","214,421755",108,65535,65535
263,21/09/2022 20:31:29004600,,"40,1868","36,5024","39,3084","20,862","192,204475",112,65535,65535
264,21/09/2022 20:31:30034200,,"40,2112","36,3804","39,2108","20,9108","187,575875",108,65535,65535
265,21/09/2022 20:31:36087000,,"40,1868","37,3076","39,2596","20,8376","152,398515",110,65535,65535
266,21/09/2022 20:31:37101000,,"40,2112","37,1612","39,2596","20,9596","144,067035",111,65535,65535
267,21/09/2022 20:31:43169400,,"40,1624","34,038","39,1376","20,862","72,786595",112,65535,65535
268,21/09/2022 20:31:44183400,,"40,1868","33,7208","39,1376","20,9108","70,009435",112,65535,65535
269,21/09/2022 20:31:45197400,,"40,1868","33,2328","39,1132","20,9108","70,009435",115,65535,65535
